Frequency [Hz],Absorption coefficient
100,"0,26"
125,"0,39"
160,"0,53"
200,"0,66"
250,"0,77"
315,"0,85"
400,"0,9"
500,"0,93"
630,"0,95"
800,"0,95"
1000,"0,95"
1250,"0,95"
1600,"0,95"
2000,"0,96"
2500,"0,96"
3150,"0,96"
4000,"0,96"
5000,"0,96"
