Frequency [Hz],Absorption coefficient
100,"0,6"
125,"0,75"
160,"0,84"
200,"0,88"
250,"0,91"
315,"0,92"
400,"0,92"
500,"0,92"
630,"0,92"
800,"0,93"
1000,"0,94"
1250,"0,95"
1600,"0,95"
2000,"0,96"
2500,"0,96"
3150,"0,96"
4000,"0,96"
5000,"0,96"
