Frequency [Hz],Absorption coefficient
100,"0,07"
125,"0,1"
160,"0,15"
200,"0,22"
250,"0,3"
315,"0,4"
400,"0,51"
500,"0,62"
630,"0,72"
800,"0,81"
1000,"0,87"
1250,"0,91"
1600,"0,93"
2000,"0,94"
2500,"0,94"
3150,"0,95"
4000,"0,96"
5000,"0,96"
