Frequency [Hz],Absorption coefficient
100,"0,23"
125,"0,45"
160,"0,71"
200,"0,89"
250,"0,95"
315,"0,95"
400,"0,93"
500,"0,92"
630,"0,92"
800,"0,93"
1000,"0,95"
1250,"0,95"
1600,"0,96"
2000,"0,96"
2500,"0,96"
3150,"0,96"
4000,"0,96"
5000,"0,96"
