Frequency [Hz],Scattering Coefficient,"Normalized Diffusion 
Coefficient",Diffusion Coefficient
100,0,0,"0,653"
125,0,0,"0,648"
160,0,0,"0,639"
200,0,0,"0,623"
250,"0,001",0,"0,595"
315,"0,003",0,"0,55"
400,"0,011",0,"0,493"
500,"0,035","0,032","0,453"
630,"0,089","0,116","0,461"
800,"0,163","0,21","0,49"
1000,"0,215","0,228","0,47"
1250,"0,294","0,233","0,445"
1600,"0,494","0,435","0,569"
2000,"0,701","0,342","0,474"
2500,"0,755","0,418","0,513"
3150,"0,875","0,309","0,4"
4000,"0,858","0,287","0,363"
5000,"0,821","0,256","0,319"
6300,"0,745","0,271","0,319"
8000,"0,827","0,404","0,435"
