Frequency [Hz],Absorption coefficient
100,"0,06"
125,"0,09"
160,"0,14"
200,"0,21"
250,"0,29"
315,"0,39"
400,"0,5"
500,"0,62"
630,"0,72"
800,"0,8"
1000,"0,87"
1250,"0,91"
1600,"0,93"
2000,"0,94"
2500,"0,94"
3150,"0,95"
4000,"0,96"
5000,"0,96"
