Frequency [Hz],Absorption coefficient
100,"0,29"
125,"0,41"
160,"0,53"
200,"0,65"
250,"0,75"
315,"0,83"
400,"0,89"
500,"0,93"
630,"0,94"
800,"0,95"
1000,"0,94"
1250,"0,94"
1600,"0,95"
2000,"0,96"
2500,"0,96"
3150,"0,96"
4000,"0,96"
5000,"0,96"
