Frequency [Hz],Absorption coefficient
100,"0,09"
125,"0,17"
160,"0,31"
200,"0,51"
250,"0,71"
315,"0,86"
400,"0,93"
500,"0,95"
630,"0,95"
800,"0,95"
1000,"0,95"
1250,"0,95"
1600,"0,95"
2000,"0,96"
2500,"0,96"
3150,"0,96"
4000,"0,96"
5000,"0,96"
