Frequency [Hz],Absorption coefficient
100,"0,07"
125,"0,11"
160,"0,15"
200,"0,21"
250,"0,29"
315,"0,38"
400,"0,48"
500,"0,58"
630,"0,68"
800,"0,76"
1000,"0,83"
1250,"0,88"
1600,"0,9"
2000,"0,92"
2500,"0,93"
3150,"0,94"
4000,"0,96"
5000,"0,97"
