Frequency [Hz],Absorption coefficient
100,"0,22"
125,"0,32"
160,"0,45"
200,"0,57"
250,"0,69"
315,"0,79"
400,"0,87"
500,"0,92"
630,"0,94"
800,"0,95"
1000,"0,95"
1250,"0,95"
1600,"0,95"
2000,"0,96"
2500,"0,96"
3150,"0,96"
4000,"0,97"
5000,"0,97"
