Frequency [Hz],Absorption coefficient
100,"0,06"
125,"0,09"
160,"0,14"
200,"0,2"
250,"0,27"
315,"0,36"
400,"0,46"
500,"0,57"
630,"0,66"
800,"0,75"
1000,"0,82"
1250,"0,86"
1600,"0,89"
2000,"0,91"
2500,"0,92"
3150,"0,93"
4000,"0,95"
5000,"0,97"
