Frequency [Hz],Scattering Coefficient,"Normalized Diffusion 
Coefficient",Diffusion Coefficient
100,0,0,"0,653"
125,0,0,"0,648"
160,"0,001",0,"0,639"
200,"0,002",0,"0,622"
250,"0,006",0,"0,593"
315,"0,02",0,"0,551"
400,"0,063","0,044","0,519"
500,"0,17","0,218","0,558"
630,"0,342","0,5","0,695"
800,"0,538","0,644","0,77"
1000,"0,714","0,448","0,621"
1250,"0,968","0,024","0,294"
1600,"0,96","0,293","0,461"
2000,"0,844","0,132","0,306"
2500,"0,771","0,198","0,329"
3150,"0,714","0,524","0,587"
4000,"0,617","0,366","0,433"
5000,"0,745","0,415","0,465"
6300,"0,94","0,335","0,38"
8000,"0,995","0,318","0,353"
